Customer_Age,Customer_Tenure,Order_Value,Items,Payment_Method,Shipping_Distance,Previous_Orders,Failed_Payments,Account_Age,Discount_Used,Express_Shipping,Device_Type,Is_Fraud
56,11,600,9,1,2168,37,1,46,0,0,0,0
69,6,26775,6,2,2234,27,0,17,1,0,0,1
46,6,8183,4,3,2632,43,5,33,0,0,2,0
32,8,41162,1,2,308,90,1,99,0,1,1,0
60,1,15820,4,0,234,38,0,33,0,0,1,0
25,2,5643,3,2,1035,41,1,96,0,0,2,0
38,12,3376,7,3,2223,41,0,84,1,0,0,1
56,12,30735,5,3,2821,59,2,30,0,0,2,0
36,9,24280,3,1,643,56,5,22,1,1,2,0
40,11,6713,2,2,2959,76,2,53,0,0,1,0
28,12,44597,2,0,1922,95,2,89,0,1,2,0
28,8,1427,5,2,1026,6,0,109,0,0,0,0
41,12,40640,8,1,2809,50,3,46,0,1,2,1
53,7,10766,8,0,1736,96,1,44,0,0,0,0
57,7,26355,5,0,182,76,1,75,1,0,2,0
41,5,20230,2,1,942,31,1,114,1,0,0,0
20,2,22168,4,0,350,6,5,34,1,0,1,0
39,11,49157,7,3,2687,75,1,28,1,1,1,1
19,6,19046,6,3,1406,39,2,35,1,1,2,0
41,10,20647,7,0,1221,14,3,68,1,0,1,0
61,3,19801,5,2,1546,58,1,9,0,0,2,0
47,4,5869,2,0,225,84,3,107,1,1,0,0
55,13,24983,8,2,1752,11,0,22,0,1,0,0
19,10,13763,2,1,1747,76,0,61,1,0,1,0
38,12,38786,8,3,286,41,5,89,1,1,2,1
50,11,37423,7,3,1355,38,1,85,0,1,0,0
29,2,35262,3,1,193,62,4,25,1,0,2,1
39,14,22952,4,1,1169,1,5,105,0,1,1,0
61,2,20488,7,3,671,28,2,81,0,1,2,0
42,12,33534,4,1,1862,60,5,79,0,0,1,1
66,8,22202,9,0,2740,28,1,41,1,0,2,1
44,8,21636,7,0,2586,99,2,7,1,1,1,1
59,10,12455,1,2,612,37,1,59,0,0,2,0
45,6,2334,1,2,901,6,2,96,0,0,2,0
33,13,39203,4,2,1647,29,4,72,1,1,2,1
32,5,31247,9,0,51,86,4,67,0,0,1,1
64,8,23759,4,3,128,91,5,33,0,0,2,0
68,4,44371,5,2,1676,55,0,100,1,1,1,0
61,11,39227,1,0,1778,86,5,81,1,0,0,1
69,4,16660,2,3,1070,35,1,65,1,0,2,0
20,5,46744,4,1,234,41,4,100,0,0,2,1
54,1,23188,4,0,2496,92,4,104,1,0,1,1
68,1,3028,6,1,584,3,5,60,0,0,2,0
24,2,40485,6,2,1467,83,1,81,1,1,2,0
38,14,40482,8,3,503,4,5,58,0,0,0,1
26,8,28284,9,0,2655,45,5,44,1,0,2,1
56,7,20199,1,2,922,74,5,118,0,1,2,0
35,10,4374,1,2,285,1,1,48,1,1,0,0
21,9,25070,6,3,1156,53,0,37,0,1,1,0
42,5,25844,4,1,1970,87,4,25,0,0,0,0
31,2,37839,4,2,1500,58,2,25,1,1,0,0
67,7,8489,1,3,936,32,1,57,1,0,2,0
26,8,17452,9,3,2592,21,1,13,0,1,2,0
43,12,21248,3,0,356,46,1,77,1,1,1,0
19,7,31928,5,2,1995,5,5,12,0,0,1,1
37,14,2604,1,1,1061,23,5,96,0,0,1,0
45,7,38874,8,1,1662,92,1,99,0,1,0,0
64,12,28843,3,2,2186,48,4,92,0,0,0,0
24,14,28994,1,1,1446,95,2,108,1,1,0,0
61,5,31095,6,3,1469,93,0,63,0,0,1,0
25,2,40811,1,3,2660,50,3,62,1,1,1,1
64,6,17848,3,2,1269,40,4,116,0,0,2,0
52,4,23200,5,1,1563,66,4,84,0,1,0,0
31,10,33791,4,3,2505,88,3,28,0,0,2,1
34,2,49722,7,2,2147,91,3,55,1,1,1,1
53,12,23081,6,3,1211,78,1,95,1,0,2,0
67,9,32808,3,2,2084,80,2,88,0,0,0,0
57,7,10346,8,0,630,1,4,116,0,0,1,0
21,6,45343,8,0,2718,90,4,75,0,0,0,1
19,12,32586,2,2,1503,99,0,42,0,0,1,0
23,5,30440,7,0,787,77,3,61,0,1,0,1
59,3,19438,1,0,2729,42,3,80,1,1,2,1
21,12,3186,2,1,2103,31,4,38,0,0,1,0
46,10,25635,8,0,1495,11,3,81,1,0,0,0
35,10,14960,1,1,1108,22,1,109,1,1,1,0
43,4,17113,2,0,891,15,0,114,0,1,1,0
61,3,7507,1,0,2816,43,4,108,1,0,0,1
51,12,33642,5,3,2966,1,5,5,0,1,2,1
27,11,25035,7,2,2036,6,0,84,0,1,1,0
53,8,41577,6,0,2712,20,5,48,1,0,0,1
31,3,49179,6,2,2878,57,1,35,1,1,1,1
48,7,34211,6,2,170,94,0,48,0,0,2,0
65,7,10261,8,3,2297,22,5,107,0,1,2,0
32,7,23681,5,2,662,59,3,14,0,1,0,0
25,13,32377,7,2,2258,24,4,54,1,0,2,1
31,7,21500,3,0,912,34,0,26,1,0,1,0
40,14,11519,9,3,2788,98,2,118,0,0,2,0
57,2,40665,3,2,2189,44,4,109,1,0,2,1
38,10,19383,6,0,632,6,0,43,1,1,2,0
33,3,1034,3,3,805,68,4,110,0,1,1,0
62,10,34854,1,0,2228,31,5,42,0,0,2,1
35,9,21480,1,3,920,52,0,88,0,1,1,0
64,3,14116,3,3,2685,68,0,95,0,0,0,0
41,2,38333,4,1,2802,24,3,18,0,1,1,1
43,9,22795,2,1,1748,94,0,103,1,1,1,0
42,13,25052,9,1,1041,83,2,55,0,0,0,0
62,10,42834,8,2,385,85,3,50,1,1,2,1
58,9,15821,3,0,893,76,2,86,0,0,2,0
46,4,1605,7,3,2817,1,5,21,0,0,0,0
32,14,5463,4,0,2004,85,2,34,0,0,2,0
62,12,48808,5,2,792,60,1,89,0,0,2,0
18,9,43714,4,1,46,8,2,40,0,0,0,0
42,3,1110,9,1,2552,50,0,119,1,1,2,1
24,7,47792,7,0,830,1,4,111,0,0,0,1
26,7,46350,4,0,2573,44,3,30,1,1,2,1
41,11,19961,8,3,979,31,3,70,0,1,2,0
18,8,24225,2,0,2605,71,3,117,1,0,2,1
61,10,9469,7,3,2095,79,4,109,0,1,2,0
25,4,3957,1,3,528,96,2,25,1,1,0,0
41,3,26771,8,1,2155,74,5,69,0,1,1,0
28,3,9964,6,0,616,31,1,29,0,0,1,0
68,12,32590,5,1,966,7,0,86,0,1,0,0
34,5,10220,9,3,1157,95,5,67,1,1,0,0
25,11,20323,9,1,2908,84,3,57,0,1,2,0
52,14,32250,3,1,201,88,0,47,0,0,2,0
52,1,44238,9,3,2302,19,2,94,0,1,1,0
50,10,2653,9,2,2231,64,5,88,0,1,1,0
22,3,15589,2,2,1174,20,1,105,1,0,0,0
59,14,4489,5,0,1573,6,3,17,0,1,0,0
56,6,49803,2,1,2538,88,2,49,0,1,2,0
58,3,22050,1,0,505,8,5,109,0,1,2,0
45,5,11189,7,1,2461,85,1,50,1,0,2,1
24,9,42099,4,0,1946,1,5,84,0,0,1,1
26,2,3151,5,0,1862,18,3,90,1,1,1,0
25,11,38190,4,3,1532,59,2,5,1,1,0,0
29,2,28905,6,2,404,69,0,13,1,1,1,0
51,12,29542,2,2,236,58,5,63,0,0,2,0
50,6,44657,8,2,1620,68,4,39,1,1,0,1
65,6,2655,4,3,2907,44,3,68,0,0,1,0
40,11,12867,8,2,633,61,1,45,0,0,2,0
41,11,558,3,3,1570,9,1,17,1,1,0,0
54,8,48569,5,1,2256,64,4,104,1,1,1,1
52,12,16166,3,3,140,25,4,59,1,1,0,0
61,13,4821,7,0,588,89,2,99,0,0,0,0
57,11,12546,3,0,2635,59,4,95,0,1,1,0
39,14,6404,8,1,1844,17,3,80,1,0,2,0
44,2,46433,9,1,2965,58,5,98,1,1,1,1
52,9,43067,2,0,967,20,4,59,1,1,2,1
18,2,34788,3,2,570,45,3,96,0,1,0,1
52,13,13327,7,2,2173,11,0,97,1,1,2,1
54,1,40562,5,2,1984,77,4,8,1,1,2,1
64,10,6398,7,1,2182,31,0,30,0,0,0,0
31,2,39497,2,0,1250,38,5,3,1,1,1,1
20,12,45587,4,3,1969,98,1,17,0,0,0,0
18,7,38014,1,1,1573,80,5,51,1,1,2,1
22,8,10406,5,0,2698,54,4,24,0,1,1,0
43,5,2689,8,2,1744,54,1,80,0,1,1,0
31,6,37178,1,2,2754,9,5,64,0,1,0,1
56,12,35109,7,2,2616,34,0,84,1,1,0,1
44,1,13701,7,0,339,79,1,74,1,0,2,0
26,6,7811,7,2,839,5,0,119,1,1,1,0
32,12,21464,1,0,2370,67,2,88,0,1,1,0
32,8,33806,3,1,95,61,5,111,0,0,0,1
43,13,29710,2,3,196,8,5,71,1,0,0,0
59,3,37169,5,2,192,28,0,112,0,1,2,0
30,11,4070,2,1,2704,70,2,49,1,0,2,1
68,1,4099,5,1,522,79,1,20,0,1,1,0
49,11,21134,5,0,753,5,0,77,0,0,0,0
56,4,36276,4,1,1685,43,2,29,1,1,2,0
66,1,46675,7,0,988,63,0,10,0,1,1,0
69,14,41830,6,0,1676,66,3,9,0,1,2,1
49,8,16732,2,1,13,43,5,71,0,1,1,0
21,5,13485,4,0,2302,77,3,108,1,1,2,1
47,1,6050,7,0,2024,13,1,63,0,1,0,0
54,14,35794,9,0,2129,8,3,33,1,0,1,1
40,8,8075,9,1,373,99,5,24,1,1,0,0
56,9,21414,3,3,394,22,4,80,0,0,0,0
62,10,23498,1,0,1914,56,2,32,1,1,1,0
32,2,25377,9,2,1756,56,5,4,1,1,2,0
60,9,26861,8,1,1933,14,5,62,1,0,2,0
46,8,31633,7,1,418,63,4,78,0,0,1,1
53,7,7066,6,0,1083,6,3,119,1,0,1,0
30,3,42001,7,1,2176,19,1,93,0,1,0,0
49,2,6687,9,2,817,63,4,22,1,1,1,0
24,7,22980,6,3,774,18,5,23,0,0,1,0
68,5,5191,3,1,1804,5,1,90,0,0,1,0
39,6,41853,3,1,2940,50,0,26,1,1,0,1
45,4,31230,4,1,2330,38,5,49,1,1,0,1
19,2,17161,8,0,2255,64,4,44,1,1,0,1
59,9,22393,9,2,1333,70,0,111,1,0,0,0
62,3,1661,8,3,2451,98,4,22,1,1,1,1
23,12,41512,2,2,2266,24,2,108,0,1,0,0
45,14,47653,4,2,2374,22,1,67,1,1,1,1
45,7,3756,4,1,756,88,0,42,0,0,0,0
61,14,21718,2,3,1277,57,3,52,1,1,1,0
61,8,20630,8,2,1213,10,4,17,1,0,2,0
37,2,21972,3,3,1797,33,5,14,0,0,0,0
47,14,28430,2,0,1467,30,0,64,0,1,1,0
28,6,16239,7,1,2178,37,4,45,0,1,1,0
45,11,33077,1,0,2051,45,4,64,0,1,0,1
42,8,5083,6,3,1990,11,4,30,1,0,0,0
56,7,40009,3,1,555,8,0,13,1,1,1,0
50,11,42986,3,0,1714,12,0,26,0,0,2,0
18,3,49129,5,1,1518,63,4,104,0,0,0,1
44,1,21429,3,0,266,19,3,32,0,1,2,0
69,14,36834,4,2,923,58,5,46,0,1,1,1
30,6,42937,3,1,2072,84,1,98,0,0,1,0
58,8,8918,7,3,534,21,4,51,1,1,2,0
20,6,11018,3,1,1881,64,3,87,0,0,0,0
56,5,42518,4,3,2051,59,1,34,0,1,1,0
23,11,1350,2,0,1694,40,4,108,0,1,0,0
25,12,4858,2,0,880,80,1,116,1,1,0,0
